,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Capture,Var Capture (%)
0,2032.0000000000005,424205769.002834,,111216200.869194,,28607.047438,,1.714203,,0.158674,
1,2033.0000000000007,453282553.226498,0.06854405656013074,114709142.727923,0.03140677195795605,29459.691899,0.02980539892653855,1.778687,0.037617481710159106,0.161072,0.015112746889849538
2,2034.0000000000002,484352378.192575,0.06854405656012941,118311786.615071,0.03140677195795161,30337.749768,0.029805398916266546,1.845597,0.03761763593032397,0.163507,0.015117462997914055
3,2034.9999999999993,517551854.998443,0.06854405656013562,122027577.917229,0.031406771957956936,31241.978503,0.02980539894734613,1.915024,0.03761763808675456,0.165979,0.015118618774731196
4,2035.9999999999998,553026958.620257,0.06854405656013096,125860070.229457,0.03140677195795516,32173.158135,0.02980539890937406,1.987062,0.03761728312543333,0.168487,0.01511034528464461
5,2036.999999999999,590933669.751201,0.06854405656013074,129812928.753765,0.03140677195794894,33132.091948,0.029805398928394622,2.06181,0.037617346615254066,0.171034,0.015116893291470479
6,2038.0000000000005,631438660.633916,0.06854405656013585,133889933.804329,0.031406771957956714,34119.607166,0.029805398933151706,2.13937,0.03761743322614608,0.17362,0.01511980074137309
7,2038.999999999999,674720027.90266,0.0685440565601303,138094984.422787,0.03140677195795316,35136.555669,0.029805398932417404,2.219848,0.03761761640108996,0.176244,0.015113466190531222
8,2039.9999999999998,720968075.657474,0.0685440565601323,142432102.10709,0.03140677195794894,36183.814728,0.029805398937379657,2.303353,0.037617440473401764,0.178908,0.015115408184108503
9,2041.0000000000002,766390503.684892,0.06300199628949699,146334946.300666,0.027401436444725036,37198.189726,0.02803394295557915,2.3817,0.03401432607160082,0.18151,0.014543787868625202
10,2041.9999999999995,814674635.354358,0.06300199628950298,150344734.031366,0.027401436444725258,38241.001654,0.028033942933279876,2.462713,0.0340147793592811,0.184149,0.014539143848823821
11,2043.0,866000763.708104,0.0630019962895012,154464395.705725,0.027401436444721483,39313.047713,0.028033942957345737,2.54648,0.03401411370305829,0.186827,0.014542571504596813
12,2044.0000000000002,920560540.609945,0.06300199628949876,158696942.027628,0.027401436444723037,40415.14745,0.02803394295567574,2.633098,0.034014796896107535,0.189544,0.014542865859859644
13,2044.9999999999993,978557692.373711,0.06300199628949787,163045466.19857,0.02740143644472348,41548.143389,0.02803394297649664,2.722661,0.03401430558224572,0.192301,0.014545435360655112
14,2045.9999999999993,1040208780.477703,0.06300199628950187,167513146.17821,0.027401436444720817,42712.90167,0.02803394293927397,2.815271,0.03401451741513184,0.195098,0.014544906162734517
15,2046.9999999999995,1105744010.205667,0.06300199628950232,172103247.006868,0.027401436444724148,43910.312719,0.02803394295829409,2.911031,0.03401448741524349,0.197935,0.014541409958072293
16,2048.0,1175408090.233779,0.06300199628949787,176819123.191657,0.02740143644472215,45141.291921,0.028033942957262248,3.010048,0.034014409327829176,0.200813,0.014540126809305942
17,2049.000000000001,1249461146.373334,0.06300199628949854,181664221.158005,0.027401436444723926,46406.780324,0.028033942963233915,3.112434,0.03401473996427962,0.203734,0.014545871034245872
18,2049.999999999999,1328179692.881024,0.0630019962895021,186642081.768347,0.02740143644472748,47707.745356,0.02803394294792705,3.218302,0.034014536533144124,0.206696,0.014538564991606773
